Player Name,Games Played,Goals,Assists,Points,+/-,PIM,Goals Even,Goals Short,Goals Power Play,Goals Game Winner,Assists Even,Assists Short,Assists Power Play,Shots,Shot Percentage,TOI,Average TOI,Offensive Point Share,Defensive Point Share,Point Shares,Blocks,Hits,Faceoff Wins,Faceoff Losses,Faceoff Percentage,year
Jimmy Howard,27,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,1372,50:48:00,0,0,2.2,0,0,0,0,NA,2020
Dylan McIlrath,16,0,0,0,-4,23,0,0,0,0,0,0,0,14,0,237,14:49:00,-0.3,0.4,0.1,12,48,0,0,NA,2020
Calvin Pickard,3,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,165,54:58:00,0,0,-0.5,0,0,0,0,NA,2020
Evgeny Svechnikov,4,0,0,0,-1,2,0,0,0,0,0,0,0,7,0,33,08:20:00,-0.1,0,-0.1,1,5,0,0,NA,2020
Dmytro Timashov,5,0,0,0,0,0,0,0,0,0,0,0,0,3,0,60,11:54:00,-0.2,0.1,-0.1,1,10,0,0,NA,2020
Filip Hronek,56,2,24,26,-18,16,2,0,0,0,13,0,11,114,1.8,1310,23:23:00,1.3,1.9,3.2,46,67,0,0,NA,2021
Dylan Larkin,44,9,14,23,-14,34,8,0,1,0,9,0,5,134,6.7,898,20:24:00,0.8,0.6,1.4,17,38,361,369,0.4945205479452055,2021
Anthony Mantha,42,11,10,21,-14,17,9,0,2,0,10,0,0,100,11,766,18:15:00,1.2,0.4,1.6,20,34,15,16,0.4838709677419355,2021
Adam Erne,45,11,9,20,-1,26,8,0,3,0,6,0,3,71,15.5,626,13:55:00,1.5,0.8,2.2,16,82,20,14,0.5882352941176471,2021
Filip Zadina,49,6,13,19,-4,0,3,0,3,1,10,0,3,97,6.2,823,16:48:00,0.3,0.9,1.2,22,22,5,10,0.3333333333333333,2021
Robby Fabbri,30,10,8,18,3,16,10,0,0,5,6,0,2,58,17.2,518,17:16:00,1.5,0.8,2.3,17,34,83,107,0.4368421052631579,2021
Vladislav Namestnikov,53,8,9,17,-5,24,8,0,0,0,9,0,0,87,9.2,858,16:11:00,0.2,0.9,1.1,35,71,135,210,0.391304347826087,2021
Sam Gagner,42,7,8,15,-4,15,6,0,1,1,8,0,0,88,8,649,15:26:00,0.5,0.7,1.2,14,5,83,97,0.46111111111111114,2021
Valtteri Filppula,38,6,9,15,-1,12,6,0,0,1,9,0,0,25,24,593,15:36:00,0.5,0.7,1.3,15,9,109,133,0.45041322314049587,2021
Luke Glendening,54,6,9,15,3,20,6,0,0,1,9,0,0,67,9,799,14:48:00,0,1.1,1.1,57,68,523,336,0.6088474970896391,2021
Bobby Ryan,33,7,7,14,-14,27,6,0,1,0,5,0,2,73,9.6,506,15:19:00,0.8,0.1,0.9,17,31,5,11,0.3125,2021
Danny DeKeyser,47,4,8,12,3,18,4,0,0,0,8,0,0,43,9.3,851,18:06:00,0.6,2.4,3,81,44,0,0,NA,2021
Michael Rasmussen,40,3,9,12,-5,26,3,0,0,1,7,0,2,62,4.8,592,14:48:00,-0.1,0.6,0.5,28,72,134,168,0.4437086092715232,2021
Jakub Vrana,11,8,3,11,1,2,8,0,0,3,2,0,1,32,25,190,17:16:00,1.5,0.3,1.7,4,3,2,2,0.5,2021
Troy Stecher,44,3,8,11,-13,12,3,0,0,0,8,0,0,55,5.5,762,17:19:00,0.5,0.9,1.4,46,33,0,0,NA,2021
Christian Djoos,36,2,9,11,-13,14,1,0,1,0,6,0,3,39,5.1,543,15:05:00,0.7,0.4,1.1,26,10,0,0,NA,2021
Marc Staal,56,3,7,10,-5,20,3,0,0,0,7,0,0,53,5.7,1031,18:25:00,0.1,2.2,2.3,45,58,0,0,NA,2021
Darren Helm,47,3,5,8,-3,10,3,0,0,0,5,0,0,83,3.6,690,14:41:00,-0.8,0.8,0,20,39,6,3,0.6666666666666666,2021
Evgeny Svechnikov,21,3,5,8,-3,10,2,0,1,1,4,0,1,21,14.3,248,11:49:00,0.5,0.2,0.7,6,20,1,2,0.3333333333333333,2021
Patrik Nemeth,39,2,6,8,-1,14,2,0,0,0,6,0,0,46,4.3,718,18:24:00,0.2,1.7,1.9,47,65,0,0,NA,2021
Tyler Bertuzzi,9,5,2,7,0,4,2,0,3,1,1,0,1,20,25,177,19:37:00,0.8,0.2,1,3,13,1,1,0.5,2021
Frans Nielsen,29,1,5,6,-3,0,1,0,0,0,5,0,0,24,4.2,352,12:08:00,-0.3,0.3,0.1,12,23,21,19,0.525,2021
Jonathon Merrill,36,0,5,5,2,12,0,0,0,0,5,0,0,35,0,709,19:41:00,-0.3,1.9,1.6,58,24,0,0,NA,2021
Richard Panik,12,1,3,4,0,2,1,0,0,0,3,0,0,19,5.3,176,14:39:00,0,0.2,0.3,5,17,0,0,NA,2021
Givani Smith,16,1,3,4,-5,21,1,0,0,1,3,0,0,20,5,169,10:35:00,0,0,0.1,4,28,0,0,NA,2021
Dennis Cholowski,16,1,2,3,-1,4,1,0,0,0,2,0,0,10,10,254,15:54:00,0.1,0.6,0.7,18,5,0,0,NA,2021
Alex Biega,13,0,3,3,-1,4,0,0,0,0,3,0,0,4,0,139,10:40:00,0.1,0.3,0.4,11,22,0,0,NA,2021
Gustav Lindstrom,13,0,3,3,1,0,0,0,0,0,3,0,0,8,0,210,16:07:00,0.1,0.6,0.7,17,14,0,0,NA,2021
Mathias Brome,26,1,1,2,-9,8,1,0,0,1,1,0,0,22,4.5,355,13:39:00,-0.7,0.1,-0.6,7,19,1,2,0.3333333333333333,2021
Taro Hirose,6,0,2,2,2,0,0,0,0,0,2,0,0,10,0,86,14:22:00,0,0.2,0.2,2,1,1,1,0.5,2021
Joe Veleno,5,1,0,1,0,4,0,0,1,0,0,0,0,8,12.5,76,15:06:00,0,0.1,0.1,4,7,17,17,0.5,2021
Jonathan Bernier,24,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,1306,54:26:00,0,0,5,0,0,0,0,NA,2021
Thomas Greiss,34,0,0,0,0,2,0,0,0,0,0,0,0,0,NA,1755,51:37:00,0,0,5.6,0,1,0,0,NA,2021
Calvin Pickard,6,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,304,50:35:00,0,0,0.3,0,0,0,0,NA,2021
